"chloroparaffin","chloroparaffin","C","Cl","H","formula","chemical_type"
394,394,11,16,8,"C11Cl16H8","CPs"
395,395,12,16,10,"C12Cl16H10","CPs"
396,396,13,16,12,"C13Cl16H12","CPs"
397,397,14,16,14,"C14Cl16H14","CPs"
398,398,15,16,16,"C15Cl16H16","CPs"
399,399,16,16,18,"C16Cl16H18","CPs"
400,400,17,16,20,"C17Cl16H20","CPs"
401,401,18,16,22,"C18Cl16H22","CPs"
402,402,19,16,24,"C19Cl16H24","CPs"
403,403,20,16,26,"C20Cl16H26","CPs"
404,404,21,16,28,"C21Cl16H28","CPs"
405,405,22,16,30,"C22Cl16H30","CPs"
406,406,23,16,32,"C23Cl16H32","CPs"
407,407,24,16,34,"C24Cl16H34","CPs"
408,408,25,16,36,"C25Cl16H36","CPs"
409,409,26,16,38,"C26Cl16H38","CPs"
410,410,27,16,40,"C27Cl16H40","CPs"
411,411,28,16,42,"C28Cl16H42","CPs"
412,412,29,16,44,"C29Cl16H44","CPs"
413,413,30,16,46,"C30Cl16H46","CPs"
414,414,31,16,48,"C31Cl16H48","CPs"
415,415,32,16,50,"C32Cl16H50","CPs"
416,416,33,16,52,"C33Cl16H52","CPs"
417,417,34,16,54,"C34Cl16H54","CPs"
418,418,35,16,56,"C35Cl16H56","CPs"
419,419,36,16,58,"C36Cl16H58","CPs"
420,420,8,17,1,"C8Cl17H1","CPs"
421,421,9,17,3,"C9Cl17H3","CPs"
422,422,10,17,5,"C10Cl17H5","CPs"
423,423,11,17,7,"C11Cl17H7","CPs"
424,424,12,17,9,"C12Cl17H9","CPs"
425,425,13,17,11,"C13Cl17H11","CPs"
426,426,14,17,13,"C14Cl17H13","CPs"
427,427,15,17,15,"C15Cl17H15","CPs"
428,428,16,17,17,"C16Cl17H17","CPs"
429,429,17,17,19,"C17Cl17H19","CPs"
430,430,18,17,21,"C18Cl17H21","CPs"
431,431,19,17,23,"C19Cl17H23","CPs"
432,432,20,17,25,"C20Cl17H25","CPs"
433,433,21,17,27,"C21Cl17H27","CPs"
434,434,22,17,29,"C22Cl17H29","CPs"
435,435,23,17,31,"C23Cl17H31","CPs"
436,436,24,17,33,"C24Cl17H33","CPs"
437,437,25,17,35,"C25Cl17H35","CPs"
438,438,26,17,37,"C26Cl17H37","CPs"
439,439,27,17,39,"C27Cl17H39","CPs"
440,440,28,17,41,"C28Cl17H41","CPs"
441,441,29,17,43,"C29Cl17H43","CPs"
442,442,30,17,45,"C30Cl17H45","CPs"
443,443,31,17,47,"C31Cl17H47","CPs"
444,444,32,17,49,"C32Cl17H49","CPs"
445,445,33,17,51,"C33Cl17H51","CPs"
446,446,34,17,53,"C34Cl17H53","CPs"
447,447,35,17,55,"C35Cl17H55","CPs"
448,448,36,17,57,"C36Cl17H57","CPs"
449,449,9,18,2,"C9Cl18H2","CPs"
450,450,10,18,4,"C10Cl18H4","CPs"
451,451,11,18,6,"C11Cl18H6","CPs"
452,452,12,18,8,"C12Cl18H8","CPs"
453,453,13,18,10,"C13Cl18H10","CPs"
454,454,14,18,12,"C14Cl18H12","CPs"
455,455,15,18,14,"C15Cl18H14","CPs"
456,456,16,18,16,"C16Cl18H16","CPs"
457,457,17,18,18,"C17Cl18H18","CPs"
458,458,18,18,20,"C18Cl18H20","CPs"
459,459,19,18,22,"C19Cl18H22","CPs"
460,460,20,18,24,"C20Cl18H24","CPs"
461,461,21,18,26,"C21Cl18H26","CPs"
462,462,22,18,28,"C22Cl18H28","CPs"
