"chloroparaffin","chloroparaffin","C","Cl","H","formula","chemical_type"
1639,1639,20,6,32,"C20Cl6H32","CdiOs"
1640,1640,21,6,34,"C21Cl6H34","CdiOs"
1641,1641,22,6,36,"C22Cl6H36","CdiOs"
1642,1642,23,6,38,"C23Cl6H38","CdiOs"
1643,1643,24,6,40,"C24Cl6H40","CdiOs"
1644,1644,25,6,42,"C25Cl6H42","CdiOs"
1645,1645,26,6,44,"C26Cl6H44","CdiOs"
1646,1646,27,6,46,"C27Cl6H46","CdiOs"
1647,1647,28,6,48,"C28Cl6H48","CdiOs"
1648,1648,29,6,50,"C29Cl6H50","CdiOs"
1649,1649,30,6,52,"C30Cl6H52","CdiOs"
1650,1650,31,6,54,"C31Cl6H54","CdiOs"
1651,1651,32,6,56,"C32Cl6H56","CdiOs"
1652,1652,33,6,58,"C33Cl6H58","CdiOs"
1653,1653,34,6,60,"C34Cl6H60","CdiOs"
1654,1654,35,6,62,"C35Cl6H62","CdiOs"
1655,1655,36,6,64,"C36Cl6H64","CdiOs"
1656,1656,7,7,5,"C7Cl7H5","CdiOs"
1657,1657,8,7,7,"C8Cl7H7","CdiOs"
1658,1658,9,7,9,"C9Cl7H9","CdiOs"
1659,1659,10,7,11,"C10Cl7H11","CdiOs"
1660,1660,11,7,13,"C11Cl7H13","CdiOs"
1661,1661,12,7,15,"C12Cl7H15","CdiOs"
1662,1662,13,7,17,"C13Cl7H17","CdiOs"
1663,1663,14,7,19,"C14Cl7H19","CdiOs"
1664,1664,15,7,21,"C15Cl7H21","CdiOs"
1665,1665,16,7,23,"C16Cl7H23","CdiOs"
1666,1666,17,7,25,"C17Cl7H25","CdiOs"
1667,1667,18,7,27,"C18Cl7H27","CdiOs"
1668,1668,19,7,29,"C19Cl7H29","CdiOs"
1669,1669,20,7,31,"C20Cl7H31","CdiOs"
1670,1670,21,7,33,"C21Cl7H33","CdiOs"
1671,1671,22,7,35,"C22Cl7H35","CdiOs"
1672,1672,23,7,37,"C23Cl7H37","CdiOs"
1673,1673,24,7,39,"C24Cl7H39","CdiOs"
1674,1674,25,7,41,"C25Cl7H41","CdiOs"
1675,1675,26,7,43,"C26Cl7H43","CdiOs"
1676,1676,27,7,45,"C27Cl7H45","CdiOs"
1677,1677,28,7,47,"C28Cl7H47","CdiOs"
1678,1678,29,7,49,"C29Cl7H49","CdiOs"
1679,1679,30,7,51,"C30Cl7H51","CdiOs"
1680,1680,31,7,53,"C31Cl7H53","CdiOs"
1681,1681,32,7,55,"C32Cl7H55","CdiOs"
1682,1682,33,7,57,"C33Cl7H57","CdiOs"
1683,1683,34,7,59,"C34Cl7H59","CdiOs"
1684,1684,35,7,61,"C35Cl7H61","CdiOs"
1685,1685,36,7,63,"C36Cl7H63","CdiOs"
1686,1686,7,8,4,"C7Cl8H4","CdiOs"
1687,1687,8,8,6,"C8Cl8H6","CdiOs"
1688,1688,9,8,8,"C9Cl8H8","CdiOs"
1689,1689,10,8,10,"C10Cl8H10","CdiOs"
1690,1690,11,8,12,"C11Cl8H12","CdiOs"
1691,1691,12,8,14,"C12Cl8H14","CdiOs"
1692,1692,13,8,16,"C13Cl8H16","CdiOs"
1693,1693,14,8,18,"C14Cl8H18","CdiOs"
1694,1694,15,8,20,"C15Cl8H20","CdiOs"
1695,1695,16,8,22,"C16Cl8H22","CdiOs"
1696,1696,17,8,24,"C17Cl8H24","CdiOs"
1697,1697,18,8,26,"C18Cl8H26","CdiOs"
1698,1698,19,8,28,"C19Cl8H28","CdiOs"
1699,1699,20,8,30,"C20Cl8H30","CdiOs"
1700,1700,21,8,32,"C21Cl8H32","CdiOs"
1701,1701,22,8,34,"C22Cl8H34","CdiOs"
1702,1702,23,8,36,"C23Cl8H36","CdiOs"
1703,1703,24,8,38,"C24Cl8H38","CdiOs"
1704,1704,25,8,40,"C25Cl8H40","CdiOs"
1705,1705,26,8,42,"C26Cl8H42","CdiOs"
1706,1706,27,8,44,"C27Cl8H44","CdiOs"
1707,1707,28,8,46,"C28Cl8H46","CdiOs"
1708,1708,29,8,48,"C29Cl8H48","CdiOs"
1709,1709,30,8,50,"C30Cl8H50","CdiOs"
1710,1710,31,8,52,"C31Cl8H52","CdiOs"
1711,1711,32,8,54,"C32Cl8H54","CdiOs"
1712,1712,33,8,56,"C33Cl8H56","CdiOs"
1713,1713,34,8,58,"C34Cl8H58","CdiOs"
1714,1714,35,8,60,"C35Cl8H60","CdiOs"
1715,1715,36,8,62,"C36Cl8H62","CdiOs"
1716,1716,7,9,3,"C7Cl9H3","CdiOs"
1717,1717,8,9,5,"C8Cl9H5","CdiOs"
1718,1718,9,9,7,"C9Cl9H7","CdiOs"
1719,1719,10,9,9,"C10Cl9H9","CdiOs"
1720,1720,11,9,11,"C11Cl9H11","CdiOs"
1721,1721,12,9,13,"C12Cl9H13","CdiOs"
1722,1722,13,9,15,"C13Cl9H15","CdiOs"
1723,1723,14,9,17,"C14Cl9H17","CdiOs"
1724,1724,15,9,19,"C15Cl9H19","CdiOs"
1725,1725,16,9,21,"C16Cl9H21","CdiOs"
1726,1726,17,9,23,"C17Cl9H23","CdiOs"
1727,1727,18,9,25,"C18Cl9H25","CdiOs"
1728,1728,19,9,27,"C19Cl9H27","CdiOs"
1729,1729,20,9,29,"C20Cl9H29","CdiOs"
1730,1730,21,9,31,"C21Cl9H31","CdiOs"
1731,1731,22,9,33,"C22Cl9H33","CdiOs"
1732,1732,23,9,35,"C23Cl9H35","CdiOs"
1733,1733,24,9,37,"C24Cl9H37","CdiOs"
1734,1734,25,9,39,"C25Cl9H39","CdiOs"
1735,1735,26,9,41,"C26Cl9H41","CdiOs"
1736,1736,27,9,43,"C27Cl9H43","CdiOs"
1737,1737,28,9,45,"C28Cl9H45","CdiOs"
1738,1738,29,9,47,"C29Cl9H47","CdiOs"
1739,1739,30,9,49,"C30Cl9H49","CdiOs"
1740,1740,31,9,51,"C31Cl9H51","CdiOs"
1741,1741,32,9,53,"C32Cl9H53","CdiOs"
1742,1742,33,9,55,"C33Cl9H55","CdiOs"
1743,1743,34,9,57,"C34Cl9H57","CdiOs"
1744,1744,35,9,59,"C35Cl9H59","CdiOs"
1745,1745,36,9,61,"C36Cl9H61","CdiOs"
1746,1746,7,10,2,"C7Cl10H2","CdiOs"
1747,1747,8,10,4,"C8Cl10H4","CdiOs"
1748,1748,9,10,6,"C9Cl10H6","CdiOs"
1749,1749,10,10,8,"C10Cl10H8","CdiOs"
1750,1750,11,10,10,"C11Cl10H10","CdiOs"
1751,1751,12,10,12,"C12Cl10H12","CdiOs"
1752,1752,13,10,14,"C13Cl10H14","CdiOs"
1753,1753,14,10,16,"C14Cl10H16","CdiOs"
1754,1754,15,10,18,"C15Cl10H18","CdiOs"
1755,1755,16,10,20,"C16Cl10H20","CdiOs"
1756,1756,17,10,22,"C17Cl10H22","CdiOs"
1757,1757,18,10,24,"C18Cl10H24","CdiOs"
1758,1758,19,10,26,"C19Cl10H26","CdiOs"
1759,1759,20,10,28,"C20Cl10H28","CdiOs"
1760,1760,21,10,30,"C21Cl10H30","CdiOs"
1761,1761,22,10,32,"C22Cl10H32","CdiOs"
1762,1762,23,10,34,"C23Cl10H34","CdiOs"
1763,1763,24,10,36,"C24Cl10H36","CdiOs"
1764,1764,25,10,38,"C25Cl10H38","CdiOs"
1765,1765,26,10,40,"C26Cl10H40","CdiOs"
1766,1766,27,10,42,"C27Cl10H42","CdiOs"
1767,1767,28,10,44,"C28Cl10H44","CdiOs"
1768,1768,29,10,46,"C29Cl10H46","CdiOs"
1769,1769,30,10,48,"C30Cl10H48","CdiOs"
1770,1770,31,10,50,"C31Cl10H50","CdiOs"
1771,1771,32,10,52,"C32Cl10H52","CdiOs"
1772,1772,33,10,54,"C33Cl10H54","CdiOs"
1773,1773,34,10,56,"C34Cl10H56","CdiOs"
1774,1774,35,10,58,"C35Cl10H58","CdiOs"
1775,1775,36,10,60,"C36Cl10H60","CdiOs"
1776,1776,7,11,1,"C7Cl11H1","CdiOs"
1777,1777,8,11,3,"C8Cl11H3","CdiOs"
1778,1778,9,11,5,"C9Cl11H5","CdiOs"
1779,1779,10,11,7,"C10Cl11H7","CdiOs"
1780,1780,11,11,9,"C11Cl11H9","CdiOs"
1781,1781,12,11,11,"C12Cl11H11","CdiOs"
1782,1782,13,11,13,"C13Cl11H13","CdiOs"
1783,1783,14,11,15,"C14Cl11H15","CdiOs"
1784,1784,15,11,17,"C15Cl11H17","CdiOs"
1785,1785,16,11,19,"C16Cl11H19","CdiOs"
1786,1786,17,11,21,"C17Cl11H21","CdiOs"
1787,1787,18,11,23,"C18Cl11H23","CdiOs"
1788,1788,19,11,25,"C19Cl11H25","CdiOs"
1789,1789,20,11,27,"C20Cl11H27","CdiOs"
1790,1790,21,11,29,"C21Cl11H29","CdiOs"
1791,1791,22,11,31,"C22Cl11H31","CdiOs"
1792,1792,23,11,33,"C23Cl11H33","CdiOs"
1793,1793,24,11,35,"C24Cl11H35","CdiOs"
1794,1794,25,11,37,"C25Cl11H37","CdiOs"
1795,1795,26,11,39,"C26Cl11H39","CdiOs"
1796,1796,27,11,41,"C27Cl11H41","CdiOs"
1797,1797,28,11,43,"C28Cl11H43","CdiOs"
1798,1798,29,11,45,"C29Cl11H45","CdiOs"
1799,1799,30,11,47,"C30Cl11H47","CdiOs"
1800,1800,31,11,49,"C31Cl11H49","CdiOs"
1801,1801,32,11,51,"C32Cl11H51","CdiOs"
1802,1802,33,11,53,"C33Cl11H53","CdiOs"
1803,1803,34,11,55,"C34Cl11H55","CdiOs"
1804,1804,35,11,57,"C35Cl11H57","CdiOs"
1805,1805,36,11,59,"C36Cl11H59","CdiOs"
1806,1806,8,12,2,"C8Cl12H2","CdiOs"
1807,1807,9,12,4,"C9Cl12H4","CdiOs"
1808,1808,10,12,6,"C10Cl12H6","CdiOs"
1809,1809,11,12,8,"C11Cl12H8","CdiOs"
1810,1810,12,12,10,"C12Cl12H10","CdiOs"
1811,1811,13,12,12,"C13Cl12H12","CdiOs"
1812,1812,14,12,14,"C14Cl12H14","CdiOs"
1813,1813,15,12,16,"C15Cl12H16","CdiOs"
1814,1814,16,12,18,"C16Cl12H18","CdiOs"
1815,1815,17,12,20,"C17Cl12H20","CdiOs"
1816,1816,18,12,22,"C18Cl12H22","CdiOs"
1817,1817,19,12,24,"C19Cl12H24","CdiOs"
1818,1818,20,12,26,"C20Cl12H26","CdiOs"
1819,1819,21,12,28,"C21Cl12H28","CdiOs"
1820,1820,22,12,30,"C22Cl12H30","CdiOs"
1821,1821,23,12,32,"C23Cl12H32","CdiOs"
1822,1822,24,12,34,"C24Cl12H34","CdiOs"
1823,1823,25,12,36,"C25Cl12H36","CdiOs"
1824,1824,26,12,38,"C26Cl12H38","CdiOs"
1825,1825,27,12,40,"C27Cl12H40","CdiOs"
1826,1826,28,12,42,"C28Cl12H42","CdiOs"
1827,1827,29,12,44,"C29Cl12H44","CdiOs"
1828,1828,30,12,46,"C30Cl12H46","CdiOs"
1829,1829,31,12,48,"C31Cl12H48","CdiOs"
1830,1830,32,12,50,"C32Cl12H50","CdiOs"
1831,1831,33,12,52,"C33Cl12H52","CdiOs"
1832,1832,34,12,54,"C34Cl12H54","CdiOs"
1833,1833,35,12,56,"C35Cl12H56","CdiOs"
1834,1834,36,12,58,"C36Cl12H58","CdiOs"
1835,1835,8,13,1,"C8Cl13H1","CdiOs"
1836,1836,9,13,3,"C9Cl13H3","CdiOs"
1837,1837,10,13,5,"C10Cl13H5","CdiOs"
1838,1838,11,13,7,"C11Cl13H7","CdiOs"
1839,1839,12,13,9,"C12Cl13H9","CdiOs"
1840,1840,13,13,11,"C13Cl13H11","CdiOs"
1841,1841,14,13,13,"C14Cl13H13","CdiOs"
1842,1842,15,13,15,"C15Cl13H15","CdiOs"
1843,1843,16,13,17,"C16Cl13H17","CdiOs"
1844,1844,17,13,19,"C17Cl13H19","CdiOs"
1845,1845,18,13,21,"C18Cl13H21","CdiOs"
1846,1846,19,13,23,"C19Cl13H23","CdiOs"
1847,1847,20,13,25,"C20Cl13H25","CdiOs"
1848,1848,21,13,27,"C21Cl13H27","CdiOs"
1849,1849,22,13,29,"C22Cl13H29","CdiOs"
1850,1850,23,13,31,"C23Cl13H31","CdiOs"
1851,1851,24,13,33,"C24Cl13H33","CdiOs"
1852,1852,25,13,35,"C25Cl13H35","CdiOs"
1853,1853,26,13,37,"C26Cl13H37","CdiOs"
1854,1854,27,13,39,"C27Cl13H39","CdiOs"
1855,1855,28,13,41,"C28Cl13H41","CdiOs"
1856,1856,29,13,43,"C29Cl13H43","CdiOs"
1857,1857,30,13,45,"C30Cl13H45","CdiOs"
1858,1858,31,13,47,"C31Cl13H47","CdiOs"
1859,1859,32,13,49,"C32Cl13H49","CdiOs"
1860,1860,33,13,51,"C33Cl13H51","CdiOs"
1861,1861,34,13,53,"C34Cl13H53","CdiOs"
1862,1862,35,13,55,"C35Cl13H55","CdiOs"
1863,1863,36,13,57,"C36Cl13H57","CdiOs"
1864,1864,9,14,2,"C9Cl14H2","CdiOs"
1865,1865,10,14,4,"C10Cl14H4","CdiOs"
1866,1866,11,14,6,"C11Cl14H6","CdiOs"
1867,1867,12,14,8,"C12Cl14H8","CdiOs"
1868,1868,13,14,10,"C13Cl14H10","CdiOs"
1869,1869,14,14,12,"C14Cl14H12","CdiOs"
1870,1870,15,14,14,"C15Cl14H14","CdiOs"
1871,1871,16,14,16,"C16Cl14H16","CdiOs"
1872,1872,17,14,18,"C17Cl14H18","CdiOs"
1873,1873,18,14,20,"C18Cl14H20","CdiOs"
1874,1874,19,14,22,"C19Cl14H22","CdiOs"
1875,1875,20,14,24,"C20Cl14H24","CdiOs"
1876,1876,21,14,26,"C21Cl14H26","CdiOs"
1877,1877,22,14,28,"C22Cl14H28","CdiOs"
1878,1878,23,14,30,"C23Cl14H30","CdiOs"
1879,1879,24,14,32,"C24Cl14H32","CdiOs"
1880,1880,25,14,34,"C25Cl14H34","CdiOs"
1881,1881,26,14,36,"C26Cl14H36","CdiOs"
1882,1882,27,14,38,"C27Cl14H38","CdiOs"
1883,1883,28,14,40,"C28Cl14H40","CdiOs"
1884,1884,29,14,42,"C29Cl14H42","CdiOs"
1885,1885,30,14,44,"C30Cl14H44","CdiOs"
1886,1886,31,14,46,"C31Cl14H46","CdiOs"
1887,1887,32,14,48,"C32Cl14H48","CdiOs"
1888,1888,33,14,50,"C33Cl14H50","CdiOs"
1889,1889,34,14,52,"C34Cl14H52","CdiOs"
1890,1890,35,14,54,"C35Cl14H54","CdiOs"
1891,1891,36,14,56,"C36Cl14H56","CdiOs"
1892,1892,9,15,1,"C9Cl15H1","CdiOs"
1893,1893,10,15,3,"C10Cl15H3","CdiOs"
1894,1894,11,15,5,"C11Cl15H5","CdiOs"
1895,1895,12,15,7,"C12Cl15H7","CdiOs"
1896,1896,13,15,9,"C13Cl15H9","CdiOs"
1897,1897,14,15,11,"C14Cl15H11","CdiOs"
1898,1898,15,15,13,"C15Cl15H13","CdiOs"
1899,1899,16,15,15,"C16Cl15H15","CdiOs"
1900,1900,17,15,17,"C17Cl15H17","CdiOs"
1901,1901,18,15,19,"C18Cl15H19","CdiOs"
1902,1902,19,15,21,"C19Cl15H21","CdiOs"
1903,1903,20,15,23,"C20Cl15H23","CdiOs"
1904,1904,21,15,25,"C21Cl15H25","CdiOs"
1905,1905,22,15,27,"C22Cl15H27","CdiOs"
1906,1906,23,15,29,"C23Cl15H29","CdiOs"
1907,1907,24,15,31,"C24Cl15H31","CdiOs"
1908,1908,25,15,33,"C25Cl15H33","CdiOs"
1909,1909,26,15,35,"C26Cl15H35","CdiOs"
1910,1910,27,15,37,"C27Cl15H37","CdiOs"
1911,1911,28,15,39,"C28Cl15H39","CdiOs"
1912,1912,29,15,41,"C29Cl15H41","CdiOs"
1913,1913,30,15,43,"C30Cl15H43","CdiOs"
1914,1914,31,15,45,"C31Cl15H45","CdiOs"
1915,1915,32,15,47,"C32Cl15H47","CdiOs"
1916,1916,33,15,49,"C33Cl15H49","CdiOs"
1917,1917,34,15,51,"C34Cl15H51","CdiOs"
1918,1918,35,15,53,"C35Cl15H53","CdiOs"
1919,1919,36,15,55,"C36Cl15H55","CdiOs"
1920,1920,10,16,2,"C10Cl16H2","CdiOs"
1921,1921,11,16,4,"C11Cl16H4","CdiOs"
1922,1922,12,16,6,"C12Cl16H6","CdiOs"
1923,1923,13,16,8,"C13Cl16H8","CdiOs"
1924,1924,14,16,10,"C14Cl16H10","CdiOs"
1925,1925,15,16,12,"C15Cl16H12","CdiOs"
1926,1926,16,16,14,"C16Cl16H14","CdiOs"
1927,1927,17,16,16,"C17Cl16H16","CdiOs"
1928,1928,18,16,18,"C18Cl16H18","CdiOs"
1929,1929,19,16,20,"C19Cl16H20","CdiOs"
1930,1930,20,16,22,"C20Cl16H22","CdiOs"
1931,1931,21,16,24,"C21Cl16H24","CdiOs"
1932,1932,22,16,26,"C22Cl16H26","CdiOs"
1933,1933,23,16,28,"C23Cl16H28","CdiOs"
1934,1934,24,16,30,"C24Cl16H30","CdiOs"
1935,1935,25,16,32,"C25Cl16H32","CdiOs"
1936,1936,26,16,34,"C26Cl16H34","CdiOs"
1937,1937,27,16,36,"C27Cl16H36","CdiOs"
1938,1938,28,16,38,"C28Cl16H38","CdiOs"
1939,1939,29,16,40,"C29Cl16H40","CdiOs"
1940,1940,30,16,42,"C30Cl16H42","CdiOs"
1941,1941,31,16,44,"C31Cl16H44","CdiOs"
1942,1942,32,16,46,"C32Cl16H46","CdiOs"
1943,1943,33,16,48,"C33Cl16H48","CdiOs"
1944,1944,34,16,50,"C34Cl16H50","CdiOs"
1945,1945,35,16,52,"C35Cl16H52","CdiOs"
1946,1946,36,16,54,"C36Cl16H54","CdiOs"
1947,1947,10,17,1,"C10Cl17H1","CdiOs"
1948,1948,11,17,3,"C11Cl17H3","CdiOs"
1949,1949,12,17,5,"C12Cl17H5","CdiOs"
1950,1950,13,17,7,"C13Cl17H7","CdiOs"
1951,1951,14,17,9,"C14Cl17H9","CdiOs"
1952,1952,15,17,11,"C15Cl17H11","CdiOs"
1953,1953,16,17,13,"C16Cl17H13","CdiOs"
1954,1954,17,17,15,"C17Cl17H15","CdiOs"
1955,1955,18,17,17,"C18Cl17H17","CdiOs"
1956,1956,19,17,19,"C19Cl17H19","CdiOs"
1957,1957,20,17,21,"C20Cl17H21","CdiOs"
1958,1958,21,17,23,"C21Cl17H23","CdiOs"
1959,1959,22,17,25,"C22Cl17H25","CdiOs"
1960,1960,23,17,27,"C23Cl17H27","CdiOs"
1961,1961,24,17,29,"C24Cl17H29","CdiOs"
1962,1962,25,17,31,"C25Cl17H31","CdiOs"
1963,1963,26,17,33,"C26Cl17H33","CdiOs"
1964,1964,27,17,35,"C27Cl17H35","CdiOs"
1965,1965,28,17,37,"C28Cl17H37","CdiOs"
1966,1966,29,17,39,"C29Cl17H39","CdiOs"
1967,1967,30,17,41,"C30Cl17H41","CdiOs"
1968,1968,31,17,43,"C31Cl17H43","CdiOs"
1969,1969,32,17,45,"C32Cl17H45","CdiOs"
1970,1970,33,17,47,"C33Cl17H47","CdiOs"
1971,1971,34,17,49,"C34Cl17H49","CdiOs"
1972,1972,35,17,51,"C35Cl17H51","CdiOs"
1973,1973,36,17,53,"C36Cl17H53","CdiOs"
1974,1974,11,18,2,"C11Cl18H2","CdiOs"
1975,1975,12,18,4,"C12Cl18H4","CdiOs"
1976,1976,13,18,6,"C13Cl18H6","CdiOs"
1977,1977,14,18,8,"C14Cl18H8","CdiOs"
1978,1978,15,18,10,"C15Cl18H10","CdiOs"
1979,1979,16,18,12,"C16Cl18H12","CdiOs"
1980,1980,17,18,14,"C17Cl18H14","CdiOs"
1981,1981,18,18,16,"C18Cl18H16","CdiOs"
1982,1982,19,18,18,"C19Cl18H18","CdiOs"
1983,1983,20,18,20,"C20Cl18H20","CdiOs"
1984,1984,21,18,22,"C21Cl18H22","CdiOs"
1985,1985,22,18,24,"C22Cl18H24","CdiOs"
1986,1986,23,18,26,"C23Cl18H26","CdiOs"
1987,1987,24,18,28,"C24Cl18H28","CdiOs"
1988,1988,25,18,30,"C25Cl18H30","CdiOs"
1989,1989,26,18,32,"C26Cl18H32","CdiOs"
1990,1990,27,18,34,"C27Cl18H34","CdiOs"
1991,1991,28,18,36,"C28Cl18H36","CdiOs"
1992,1992,29,18,38,"C29Cl18H38","CdiOs"
1993,1993,30,18,40,"C30Cl18H40","CdiOs"
1994,1994,31,18,42,"C31Cl18H42","CdiOs"
1995,1995,32,18,44,"C32Cl18H44","CdiOs"
1996,1996,33,18,46,"C33Cl18H46","CdiOs"
1997,1997,34,18,48,"C34Cl18H48","CdiOs"
1998,1998,35,18,50,"C35Cl18H50","CdiOs"
1999,1999,36,18,52,"C36Cl18H52","CdiOs"
2000,2000,11,19,1,"C11Cl19H1","CdiOs"
2001,2001,12,19,3,"C12Cl19H3","CdiOs"
2002,2002,13,19,5,"C13Cl19H5","CdiOs"
2003,2003,14,19,7,"C14Cl19H7","CdiOs"
2004,2004,15,19,9,"C15Cl19H9","CdiOs"
2005,2005,16,19,11,"C16Cl19H11","CdiOs"
2006,2006,17,19,13,"C17Cl19H13","CdiOs"
2007,2007,18,19,15,"C18Cl19H15","CdiOs"
2008,2008,19,19,17,"C19Cl19H17","CdiOs"
2009,2009,20,19,19,"C20Cl19H19","CdiOs"
2010,2010,21,19,21,"C21Cl19H21","CdiOs"
2011,2011,22,19,23,"C22Cl19H23","CdiOs"
2012,2012,23,19,25,"C23Cl19H25","CdiOs"
2013,2013,24,19,27,"C24Cl19H27","CdiOs"
2014,2014,25,19,29,"C25Cl19H29","CdiOs"
2015,2015,26,19,31,"C26Cl19H31","CdiOs"
2016,2016,27,19,33,"C27Cl19H33","CdiOs"
2017,2017,28,19,35,"C28Cl19H35","CdiOs"
2018,2018,29,19,37,"C29Cl19H37","CdiOs"
2019,2019,30,19,39,"C30Cl19H39","CdiOs"
2020,2020,31,19,41,"C31Cl19H41","CdiOs"
2021,2021,32,19,43,"C32Cl19H43","CdiOs"
2022,2022,33,19,45,"C33Cl19H45","CdiOs"
2023,2023,34,19,47,"C34Cl19H47","CdiOs"
2024,2024,35,19,49,"C35Cl19H49","CdiOs"
2025,2025,36,19,51,"C36Cl19H51","CdiOs"
2026,2026,12,20,2,"C12Cl20H2","CdiOs"
2027,2027,13,20,4,"C13Cl20H4","CdiOs"
2028,2028,14,20,6,"C14Cl20H6","CdiOs"
2029,2029,15,20,8,"C15Cl20H8","CdiOs"
2030,2030,16,20,10,"C16Cl20H10","CdiOs"
2031,2031,17,20,12,"C17Cl20H12","CdiOs"
2032,2032,18,20,14,"C18Cl20H14","CdiOs"
2033,2033,19,20,16,"C19Cl20H16","CdiOs"
2034,2034,20,20,18,"C20Cl20H18","CdiOs"
2035,2035,21,20,20,"C21Cl20H20","CdiOs"
2036,2036,22,20,22,"C22Cl20H22","CdiOs"
2037,2037,23,20,24,"C23Cl20H24","CdiOs"
2038,2038,24,20,26,"C24Cl20H26","CdiOs"
2039,2039,25,20,28,"C25Cl20H28","CdiOs"
2040,2040,26,20,30,"C26Cl20H30","CdiOs"
2041,2041,27,20,32,"C27Cl20H32","CdiOs"
2042,2042,28,20,34,"C28Cl20H34","CdiOs"
2043,2043,29,20,36,"C29Cl20H36","CdiOs"
2044,2044,30,20,38,"C30Cl20H38","CdiOs"
2045,2045,31,20,40,"C31Cl20H40","CdiOs"
2046,2046,32,20,42,"C32Cl20H42","CdiOs"
2047,2047,33,20,44,"C33Cl20H44","CdiOs"
2048,2048,34,20,46,"C34Cl20H46","CdiOs"
2049,2049,35,20,48,"C35Cl20H48","CdiOs"
2050,2050,36,20,50,"C36Cl20H50","CdiOs"
2051,2051,12,21,1,"C12Cl21H1","CdiOs"
2052,2052,13,21,3,"C13Cl21H3","CdiOs"
2053,2053,14,21,5,"C14Cl21H5","CdiOs"
2054,2054,15,21,7,"C15Cl21H7","CdiOs"
2055,2055,16,21,9,"C16Cl21H9","CdiOs"
2056,2056,17,21,11,"C17Cl21H11","CdiOs"
2057,2057,18,21,13,"C18Cl21H13","CdiOs"
2058,2058,19,21,15,"C19Cl21H15","CdiOs"
2059,2059,20,21,17,"C20Cl21H17","CdiOs"
2060,2060,21,21,19,"C21Cl21H19","CdiOs"
2061,2061,22,21,21,"C22Cl21H21","CdiOs"
2062,2062,23,21,23,"C23Cl21H23","CdiOs"
2063,2063,24,21,25,"C24Cl21H25","CdiOs"
2064,2064,25,21,27,"C25Cl21H27","CdiOs"
2065,2065,26,21,29,"C26Cl21H29","CdiOs"
2066,2066,27,21,31,"C27Cl21H31","CdiOs"
2067,2067,28,21,33,"C28Cl21H33","CdiOs"
2068,2068,29,21,35,"C29Cl21H35","CdiOs"
2069,2069,30,21,37,"C30Cl21H37","CdiOs"
2070,2070,31,21,39,"C31Cl21H39","CdiOs"
2071,2071,32,21,41,"C32Cl21H41","CdiOs"
2072,2072,33,21,43,"C33Cl21H43","CdiOs"
2073,2073,34,21,45,"C34Cl21H45","CdiOs"
2074,2074,35,21,47,"C35Cl21H47","CdiOs"
2075,2075,36,21,49,"C36Cl21H49","CdiOs"
2076,2076,13,22,2,"C13Cl22H2","CdiOs"
2077,2077,14,22,4,"C14Cl22H4","CdiOs"
2078,2078,15,22,6,"C15Cl22H6","CdiOs"
2079,2079,16,22,8,"C16Cl22H8","CdiOs"
2080,2080,17,22,10,"C17Cl22H10","CdiOs"
2081,2081,18,22,12,"C18Cl22H12","CdiOs"
2082,2082,19,22,14,"C19Cl22H14","CdiOs"
2083,2083,20,22,16,"C20Cl22H16","CdiOs"
2084,2084,21,22,18,"C21Cl22H18","CdiOs"
2085,2085,22,22,20,"C22Cl22H20","CdiOs"
2086,2086,23,22,22,"C23Cl22H22","CdiOs"
2087,2087,24,22,24,"C24Cl22H24","CdiOs"
2088,2088,25,22,26,"C25Cl22H26","CdiOs"
2089,2089,26,22,28,"C26Cl22H28","CdiOs"
2090,2090,27,22,30,"C27Cl22H30","CdiOs"
2091,2091,28,22,32,"C28Cl22H32","CdiOs"
2092,2092,29,22,34,"C29Cl22H34","CdiOs"
2093,2093,30,22,36,"C30Cl22H36","CdiOs"
2094,2094,31,22,38,"C31Cl22H38","CdiOs"
2095,2095,32,22,40,"C32Cl22H40","CdiOs"
2096,2096,33,22,42,"C33Cl22H42","CdiOs"
2097,2097,34,22,44,"C34Cl22H44","CdiOs"
2098,2098,35,22,46,"C35Cl22H46","CdiOs"
2099,2099,36,22,48,"C36Cl22H48","CdiOs"
2100,2100,13,23,1,"C13Cl23H1","CdiOs"
2101,2101,14,23,3,"C14Cl23H3","CdiOs"
2102,2102,15,23,5,"C15Cl23H5","CdiOs"
2103,2103,16,23,7,"C16Cl23H7","CdiOs"
2104,2104,17,23,9,"C17Cl23H9","CdiOs"
2105,2105,18,23,11,"C18Cl23H11","CdiOs"
2106,2106,19,23,13,"C19Cl23H13","CdiOs"
2107,2107,20,23,15,"C20Cl23H15","CdiOs"
2108,2108,21,23,17,"C21Cl23H17","CdiOs"
2109,2109,22,23,19,"C22Cl23H19","CdiOs"
2110,2110,23,23,21,"C23Cl23H21","CdiOs"
2111,2111,24,23,23,"C24Cl23H23","CdiOs"
2112,2112,25,23,25,"C25Cl23H25","CdiOs"
2113,2113,26,23,27,"C26Cl23H27","CdiOs"
2114,2114,27,23,29,"C27Cl23H29","CdiOs"
2115,2115,28,23,31,"C28Cl23H31","CdiOs"
2116,2116,29,23,33,"C29Cl23H33","CdiOs"
2117,2117,30,23,35,"C30Cl23H35","CdiOs"
2118,2118,31,23,37,"C31Cl23H37","CdiOs"
2119,2119,32,23,39,"C32Cl23H39","CdiOs"
